,precision,recall,f1-score,support
buccal_mucosa,0.9310344827586207,0.9,0.9152542372881356,30.0
keratinized_gingiva,0.0,0.0,0.0,1.0
palatine_tonsils,0.0,0.0,0.0,1.0
saliva,0.0,0.0,0.0,1.0
subgingival_plaque,0.6666666666666666,1.0,0.8,2.0
supragingival_plaque,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0
tongue_dorsum,0.9722222222222222,1.0,0.9859154929577465,35.0
accuracy,0.9320388349514563,0.9320388349514563,0.9320388349514563,0.9320388349514563
macro avg,0.5015856917479635,0.5528138528138528,0.5223419444061281,103.0
weighted avg,0.9160288264396261,0.9320388349514563,0.9231753148724922,103.0
