,precision,recall,f1-score,support
buccal_mucosa,0.875,0.9333333333333333,0.9032258064516129,30.0
keratinized_gingiva,0.0,0.0,0.0,1.0
palatine_tonsils,0.0,0.0,0.0,1.0
saliva,0.0,0.0,0.0,1.0
subgingival_plaque,1.0,0.5,0.6666666666666666,2.0
supragingival_plaque,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0
tongue_dorsum,0.9714285714285714,0.9714285714285714,0.9714285714285714,35.0
accuracy,0.9223300970873787,0.9223300970873787,0.9223300970873787,0.9223300970873787
macro avg,0.5410864345738295,0.482065553494125,0.4995064178776952,103.0
weighted avg,0.9059109080525415,0.9223300970873787,0.9121601513260506,103.0
